Gene,baseMean,log2FC,lfcSE,stat,pvalue,padj
LOC102552269,189.9049662,-6.483041675,0.380645473,-10.44503822,1.54E-25,4.54E-23
LOC102556873,676.031306,-5.333825097,0.343206228,-15.30785489,6.78E-53,4.19E-49
Trim44,730.064612,-5.250280701,0.303833282,-17.04696512,3.68E-65,6.83E-61
LOC108350739,69.27639251,-5.198949504,0.417215737,-7.702948134,1.33E-14,1.15E-12
LOC120096325,66.52408897,-5.040316634,0.415274539,-8.407870425,4.18E-17,5.06E-15
Clca5,52.64189772,-4.808234358,0.448704152,-7.684158614,1.54E-14,1.32E-12
LOC102554451,43.88340139,-4.743574223,0.43721686,-6.848560762,7.46E-12,4.27E-10
Rpl12,514.8413603,-4.638211401,0.344089552,-13.35473757,1.11E-40,1.59E-37
LOC298795,38.45887138,-4.48219108,0.435977617,-6.77335935,1.26E-11,6.88E-10
LOC120098509,61.72180796,-4.437218284,0.451964771,-7.100486996,1.24E-12,8.15E-11
Tpm4,169.0374458,-4.426428964,0.34142456,-12.55046565,3.95E-36,4.07E-33
LOC120095201,70.12085834,-4.412097017,0.396784971,-9.938328985,2.84E-23,6.57E-21
Slc30a2,52.10400521,-4.391857807,0.431938675,-8.111996419,4.98E-16,5.40E-14
Lin7c,64.25115578,-4.232202214,0.394572869,-9.734744781,2.14E-22,4.73E-20
Spi1,37.41533703,-4.178100366,0.449900525,-6.557948135,5.46E-11,2.63E-09
LOC102554731,53.81497963,-4.118595254,0.442409599,-8.067919557,7.15E-16,7.66E-14
Ccnd2,45.99918616,-4.116709492,0.427553605,-8.283188239,1.20E-16,1.41E-14
Nkx2-3,30.80386713,-4.087157522,0.465416721,-6.915724408,4.65E-12,2.78E-10
LOC102547938,30.7327206,-4.082382044,0.449258501,-6.343165188,2.25E-10,9.46E-09
LOC120099072,34.44269424,-4.051713319,0.43572858,-7.414609165,1.22E-13,9.19E-12
Prpf31,513.08319,-4.036630955,0.336808549,-11.94294708,7.07E-33,5.24E-30
LOC102555374,28.49302549,-4.034694509,0.465929701,-6.836348036,8.12E-12,4.59E-10
LOC108352329,36.78181755,-4.02441641,0.446874166,-7.051355089,1.77E-12,1.13E-10
LOC120101813,36.22678647,-4.002097964,0.441866743,-7.347075401,2.03E-13,1.47E-11
Fbn2,42.08019984,-3.957516663,0.425766669,-8.141265095,3.91E-16,4.34E-14
LOC120094648,34.04710632,-3.922632381,0.445464358,-7.167866297,7.62E-13,5.17E-11
LOC108352469,32.8132539,-3.915642504,0.436524125,-7.43508766,1.04E-13,8.01E-12
Wasf3,220.8064561,-3.914251523,0.334886462,-11.55435666,7.02E-31,3.61E-28
LOC108350529,33.44157438,-3.899117104,0.472360396,-6.84264617,7.77E-12,4.43E-10
Cd300e,26.28226451,-3.87814407,0.469891392,-6.685061097,2.31E-11,1.20E-09
LOC102550505,26.80802285,-3.841465845,0.471346302,-6.672525456,2.51E-11,1.30E-09
LOC102555078,23.93528577,-3.807515521,0.463522024,-5.930842862,3.01E-09,9.69E-08
LOC120101578,30.25854727,-3.805850106,0.444322931,-7.034762104,2.00E-12,1.26E-10
LOC120094659,56.61470793,-3.773632866,0.418787414,-8.490165982,2.06E-17,2.60E-15
Yy1,614.9585979,-3.75373556,0.321164485,-11.66468243,1.93E-31,1.16E-28
LOC103691971,121.1217657,-3.746593355,0.323099465,-11.36110068,6.53E-30,3.03E-27
LOC120097843,25.34053313,-3.73517076,0.459193704,-5.990661869,2.09E-09,6.97E-08
LOC684773,231.5200006,-3.733357599,0.383963162,-9.677270953,3.77E-22,7.76E-20
Casc3,203.7687976,-3.731911984,0.353167774,-10.47138547,1.17E-25,3.51E-23
LOC120097911,28.14128627,-3.72448521,0.46997455,-5.976710655,2.28E-09,7.55E-08
LOC120095191,34.11482341,-3.722727373,0.433827989,-7.56306257,3.94E-14,3.23E-12
LOC100910657,33.58767145,-3.714262602,0.459341393,-6.663054473,2.68E-11,1.37E-09
LOC120099714,35.93530584,-3.683475998,0.460781294,-6.839686108,7.94E-12,4.50E-10
LOC120102811,20.8056315,-3.678227133,0.472988981,-6.416791506,1.39E-10,6.14E-09
Lman1l,64.96488014,-3.670233891,0.376651393,-9.353422212,8.49E-21,1.42E-18
LOC108353207,20.94797776,-3.663701995,0.473524817,-6.410441357,1.45E-10,6.39E-09
Cacna2d4,25.82208517,-3.650856311,0.464657634,-5.901687247,3.60E-09,1.13E-07
Fabp7,181.1754696,-3.642206922,0.340908291,-10.56326264,4.41E-26,1.46E-23
LOC103690421,21.77100592,-3.630345937,0.468495706,-5.763253999,8.25E-09,2.39E-07
Mybphl,36.18826087,-3.606734915,0.441653589,-7.388818127,1.48E-13,1.10E-11
Tspan1,66.07612218,-3.562187029,0.359632912,-9.562291134,1.15E-21,2.14E-19
RGD1559972,41.57086472,-3.548466569,0.420853697,-7.89305573,2.95E-15,2.82E-13
LOC108352692,31.83298319,-3.547040122,0.46915334,-6.320178929,2.61E-10,1.08E-08
LOC108352072,27.81007106,-3.521440082,0.475036752,-5.859205377,4.65E-09,1.41E-07
LOC120094163,35.72860701,-3.51917738,0.420677411,-7.726101504,1.11E-14,9.84E-13
Fcna,26.46773147,-3.507219286,0.466449635,-6.172636761,6.72E-10,2.53E-08
LOC102552406,26.23936754,-3.505239457,0.468635888,-5.867438132,4.43E-09,1.35E-07
LOC120095912,35.65333248,-3.502920525,0.470717833,-6.421861265,1.35E-10,5.96E-09
LOC108350879,22.43187642,-3.495064164,0.478746545,-6.333732457,2.39E-10,1.00E-08
RT1-T24-3,22.83779342,-3.46712582,0.479531439,-6.325720175,2.52E-10,1.05E-08
LOC102553927,23.73284642,-3.438246144,0.466423533,-6.045347893,1.49E-09,5.18E-08
Otud6b,247.6823749,-3.42325324,0.354298515,-9.624720008,6.29E-22,1.24E-19
Gtf3c6,219.1666013,-3.415733586,0.354866559,-9.582165758,9.50E-22,1.78E-19
LOC102551333,54.28504001,-3.405441078,0.444535292,-7.443838232,9.78E-14,7.53E-12
LOC120097171,26.62830566,-3.400834486,0.448619213,-6.7573247,1.41E-11,7.63E-10
Atp8b4,17.3719393,-3.396702291,0.478815436,-6.116326722,9.58E-10,3.48E-08
LOC102549636,123.2309084,-3.387169349,0.354368077,-9.454922068,3.23E-21,5.82E-19
Gfi1,37.34840167,-3.381083193,0.435922471,-7.302805331,2.82E-13,2.03E-11
Nhlh2,17.61841879,-3.380342556,0.479317017,-6.111827837,9.85E-10,3.57E-08
Tma7,1190.298088,-3.373298917,0.22087727,-15.25699946,1.48E-52,6.86E-49
Fbxo32,26.73159143,-3.369912034,0.458614243,-6.510929056,7.47E-11,3.48E-09
LOC120094597,16.59408075,-3.35825052,0.479318691,-6.062523458,1.34E-09,4.67E-08
LOC120095943,57.63462523,-3.352600064,0.411157657,-7.934804554,2.11E-15,2.11E-13
LOC120097213,21.95536915,-3.351749011,0.47668293,-5.604216617,2.09E-08,5.49E-07
Neurod1,17.09991544,-3.350768445,0.479764884,-6.073829825,1.25E-09,4.42E-08
LOC102551138,19.60396666,-3.344989345,0.475382712,-5.53138164,3.18E-08,7.82E-07
LOC120094700,55.91680291,-3.337027068,0.372968321,-8.66759172,4.41E-18,5.84E-16
Gnl3l,210.0910203,-3.332331555,0.310248734,-10.67883566,1.28E-26,4.47E-24
LOC102555203,24.46194152,-3.327931411,0.4826369,-6.273523766,3.53E-10,1.43E-08
LOC120102250,20.28270555,-3.325092293,0.481582828,-6.154353679,7.54E-10,2.82E-08
LOC120093674,34.89280127,-3.317598521,0.451060643,-6.920052155,4.51E-12,2.71E-10
Cstf3,405.4247346,-3.309125126,0.310316562,-10.63966227,1.95E-26,6.69E-24
LOC102555439,2070.940385,-3.284218986,0.352481661,-9.333601998,1.02E-20,1.68E-18
Clca2,17.74086344,-3.282791702,0.481521135,-6.045076073,1.49E-09,5.18E-08
LOC120097029,40.07824764,-3.278856373,0.464554863,-6.753892625,1.44E-11,7.78E-10
Srcap,326.1944183,-3.27597827,0.375561006,-8.72236642,2.72E-18,3.63E-16
LOC120097961,26.43877543,-3.272054548,0.456090716,-6.51436521,7.30E-11,3.42E-09
LOC108351221,23.88422593,-3.267880553,0.479772123,-5.605754875,2.07E-08,5.45E-07
LOC102548721,15.80776908,-3.257297697,0.48122291,-5.961066379,2.51E-09,8.27E-08
Casz1,45.02195964,-3.247389832,0.406514482,-7.714037808,1.22E-14,1.07E-12
Gml,38.25746274,-3.246464417,0.402254571,-7.709313455,1.26E-14,1.10E-12
LOC102550245,53.62662809,-3.242838939,0.402664058,-7.848579728,4.21E-15,3.92E-13
Cenpb,42.78099342,-3.23138936,0.416152022,-7.486958589,7.05E-14,5.56E-12
Zfp385d,49.88067237,-3.230572336,0.418480246,-7.514491514,5.71E-14,4.57E-12
LOC120093200,85.52075142,-3.22780162,0.326542529,-9.727952211,2.29E-22,5.00E-20
LOC100359583,57.76765551,-3.205087203,0.426412617,-7.383586535,1.54E-13,1.14E-11
Camk2n1,1454.10662,-3.204269864,0.284134485,-11.27439819,1.76E-29,7.75E-27
LOC102557169,30.5286156,-3.20237889,0.455018704,-6.604425233,3.99E-11,1.98E-09
Kcnmb3,15.0554549,-3.199861941,0.482104952,-5.892060034,3.81E-09,1.19E-07
LOC120095262,20.26991012,-3.192621989,0.457986781,-6.137958401,8.36E-10,3.08E-08
Slco1a3,17.00253058,-3.181319766,0.483199264,-5.94715823,2.73E-09,8.86E-08
Fam174b,31.54333548,-3.167533349,0.416066371,-7.210697317,5.57E-13,3.85E-11
LOC120094887,15.15696278,-3.165885311,0.482837423,-5.87106456,4.33E-09,1.32E-07
LOC108351415,40.17315061,-3.164140546,0.468953929,-6.564935575,5.21E-11,2.53E-09
LOC100359972,19.18933739,-3.158563743,0.484199808,-6.00430514,1.92E-09,6.45E-08
LOC120101101,16.97436087,-3.151920581,0.483703533,-5.925064352,3.12E-09,9.93E-08
Atf5,2483.2125,-3.148737293,0.244042432,-12.89930495,4.54E-38,4.95E-35
LOC120096963,21.94923733,-3.144397999,0.474348939,-5.731577988,9.95E-09,2.82E-07
Kif5a,74.51078683,-3.141652363,0.394052937,-7.869234586,3.57E-15,3.38E-13
Adcy8,71.93644539,-3.132164394,0.337367791,-9.121933298,7.38E-20,1.10E-17
LOC120103460,18.07514701,-3.132067718,0.484368173,-5.950412429,2.67E-09,8.72E-08
Pdxdc1,154.6223908,-3.130187397,0.340076355,-9.153027796,5.54E-20,8.48E-18
Sptbn1,4678.762478,-3.129118795,0.266103647,-11.75969383,6.30E-32,4.12E-29
LOC120097546,16.98567197,-3.126997678,0.468775011,-5.591983932,2.24E-08,5.78E-07
LOC102546353,19.90828442,-3.118332973,0.477578826,-5.35591202,8.51E-08,1.89E-06
LOC120102356,30.47067216,-3.099451488,0.463642976,-6.360167824,2.02E-10,8.57E-09
Sec14l3,244.1184277,-3.098917508,0.318520986,-9.699357512,3.03E-22,6.39E-20
Fau,2119.152844,-3.094755811,0.288883582,-10.71314943,8.83E-27,3.15E-24
LOC120100717,57.32774609,-3.093283946,0.444022193,-6.904525715,5.04E-12,2.97E-10
LOC120095064,29.08892439,-3.092170133,0.452786821,-6.475698986,9.44E-11,4.33E-09
LOC108353040,43.7859926,-3.086731872,0.390461682,-7.679581647,1.60E-14,1.36E-12
LOC120095275,15.70363585,-3.078814216,0.484530977,-5.827180849,5.64E-09,1.69E-07
LOC108350107,18.62285189,-3.078471743,0.474378245,-5.544878732,2.94E-08,7.31E-07
Ntng1,29.2982786,-3.06351305,0.413058848,-7.057716131,1.69E-12,1.08E-10
LOC120101545,33.23349253,-3.057603537,0.446170279,-6.599522981,4.12E-11,2.04E-09
LOC102547655,19.02294444,-3.057412783,0.485559827,-5.927596053,3.07E-09,9.84E-08
Zbbx,29.1730046,-3.055913063,0.462664542,-6.279526476,3.40E-10,1.38E-08
Fam126a,72.95942526,-3.054277976,0.414463823,-7.304808871,2.78E-13,2.00E-11
Sln,13.90143925,-3.054092434,0.484320819,-5.738285163,9.56E-09,2.72E-07
LOC108351885,157.1241666,-3.044580475,0.321366197,-9.418721159,4.57E-21,8.14E-19
LOC120101793,24.16958752,-3.039473957,0.452402425,-6.288434504,3.21E-10,1.31E-08
Hnrnpul2,193.1025105,-3.028660942,0.311735765,-9.675393349,3.84E-22,7.82E-20
LOC102549385,39.10855589,-3.026998451,0.391883558,-7.481699001,7.34E-14,5.74E-12
LOC102546414,32.61328301,-3.026068124,0.478120791,-6.072468833,1.26E-09,4.45E-08
Trim63,15.49872583,-3.02248951,0.477815149,-5.094164547,3.50E-07,6.66E-06
Clec7a,18.49079199,-3.019475491,0.480875583,-5.18822422,2.12E-07,4.27E-06
LOC120096461,17.14508505,-3.014061989,0.483086354,-5.220563186,1.78E-07,3.68E-06
LOC120094293,18.68612804,-3.013571428,0.486018687,-5.885271456,3.97E-09,1.23E-07
LOC120102252,24.95740887,-3.013514696,0.447118923,-6.342027656,2.27E-10,9.51E-09
LOC120097825,17.65785198,-3.011919209,0.485884339,-5.8496701,4.93E-09,1.49E-07
LOC120096350,56.66146167,-3.010592198,0.355288724,-8.307755521,9.75E-17,1.16E-14
Igfbp5,578.5540968,-3.001710165,0.254983461,-11.75774267,6.44E-32,4.12E-29
LOC108353033,37.58877396,-3.001406261,0.424270919,-6.878339708,6.06E-12,3.50E-10
LOC681341,13.36743485,-2.996037854,0.485049089,-5.672384465,1.41E-08,3.85E-07
Zc3h13,3335.731356,-2.990802795,0.239124268,-12.50591566,6.93E-36,6.76E-33
Ctxn2,22.79429045,-2.986034687,0.482606332,-5.339902053,9.30E-08,2.05E-06
LOC102548009,18.00030782,-2.98195477,0.477249789,-5.418632819,6.01E-08,1.38E-06
LOC120098564,15.41470575,-2.974970223,0.485887452,-5.739660232,9.49E-09,2.71E-07
Zbtb41,23.11247772,-2.970873032,0.448529233,-6.226066397,4.78E-10,1.88E-08
LOC500035,16.80078143,-2.968463652,0.479816428,-5.121398412,3.03E-07,5.83E-06
Pcyox1,162.8455159,-2.964926028,0.377771503,-7.831591684,4.82E-15,4.44E-13
Pik3r6,13.89181808,-2.94576808,0.48196043,-5.062910524,4.13E-07,7.68E-06
LOC120099651,14.73826258,-2.945765592,0.486080456,-5.69067423,1.27E-08,3.48E-07
LOC108350487,15.29378199,-2.924061684,0.483970701,-5.091476557,3.55E-07,6.74E-06
Duox2,14.29968518,-2.919792922,0.478746917,-4.986785022,6.14E-07,1.08E-05
Ncl,7317.036687,-2.915888776,0.188133803,-15.49777766,3.59E-54,3.33E-50
Cdc42bpg,395.3159962,-2.908425877,0.207147438,-14.01217272,1.31E-44,3.48E-41
RGD1561251,12.60657504,-2.904179644,0.486075048,-5.569315849,2.56E-08,6.51E-07
Trnp,1626.139066,-2.903854027,0.309447118,-9.385760434,6.25E-21,1.06E-18
LOC108350663,12.53323687,-2.903651071,0.486050329,-5.565015394,2.62E-08,6.62E-07
Naalad2,12.46703914,-2.902043973,0.486055644,-5.560993508,2.68E-08,6.74E-07
LOC102555697,13.86884694,-2.895072524,0.486460789,-5.616279074,1.95E-08,5.15E-07
Purb,752.4072867,-2.890194672,0.264293603,-10.92728323,8.54E-28,3.37E-25
LOC120093142,29.19802238,-2.884638607,0.428808458,-6.48601444,8.81E-11,4.08E-09
Alb,13.92689112,-2.878493209,0.486672784,-5.608337299,2.04E-08,5.37E-07
LOC102551127,76.90434246,-2.875345276,0.317847083,-8.945146149,3.71E-19,5.18E-17
Trnaa-agc_24,21.25053365,-2.871605604,0.452974903,-5.970391166,2.37E-09,7.84E-08
LOC120094487,21.69328684,-2.870257161,0.470202864,-5.744359611,9.23E-09,2.65E-07
LOC120100873,23.38260242,-2.869972143,0.46145015,-5.925915628,3.11E-09,9.89E-08
Ttc6,15.49158423,-2.868991994,0.485194449,-5.057727223,4.24E-07,7.86E-06
Creb3l4,48.04230787,-2.86035199,0.414426391,-6.807652937,9.92E-12,5.51E-10
LOC120097840,32.03554824,-2.856894512,0.42941607,-6.471916625,9.68E-11,4.41E-09
LOC120093698,26.55425581,-2.854304929,0.422949263,-6.476344643,9.40E-11,4.32E-09
Erg,12.82668322,-2.844746801,0.484167751,-4.93306089,8.10E-07,1.38E-05
LOC102550248,28.92191856,-2.841756408,0.447679115,-6.140652104,8.22E-10,3.04E-08
LOC120093640,19.82008263,-2.840358982,0.481805568,-5.342066262,9.19E-08,2.03E-06
LOC120098216,17.13973036,-2.833625182,0.482350686,-5.067276998,4.04E-07,7.53E-06
Rasa3,46.44885288,-2.828202386,0.448392117,-6.265735794,3.71E-10,1.49E-08
LOC685793,13.1782109,-2.82591125,0.48125696,-4.838739978,1.31E-06,2.11E-05
Rab27b,148.5250275,-2.822502153,0.339748995,-8.279606337,1.24E-16,1.44E-14
LOC120098328,23.0227732,-2.815531598,0.485696334,-5.2022191,1.97E-07,4.01E-06
Sh3pxd2a,3556.30942,-2.809006869,0.243154797,-11.55129764,7.27E-31,3.64E-28
LOC102557452,12.39952875,-2.793825879,0.487179777,-5.475760699,4.36E-08,1.04E-06
LOC498414,15.38546539,-2.790789958,0.476065846,-5.263608354,1.41E-07,3.00E-06
Col8a1,15.40878547,-2.790573163,0.487555486,-5.603081509,2.11E-08,5.52E-07
LOC688282,19.11661849,-2.790552573,0.458726836,-5.723187101,1.05E-08,2.95E-07
LOC102551594,20.55878152,-2.787522419,0.465267751,-5.665665207,1.46E-08,3.97E-07
Pax7,39.56981749,-2.783121091,0.438585365,-6.245421065,4.23E-10,1.67E-08
LOC102550562,21.94428967,-2.780746183,0.475796785,-5.564121424,2.63E-08,6.63E-07
LOC108352349,20.63912182,-2.780364378,0.482306715,-5.365904886,8.05E-08,1.80E-06
Trnap-agg_83,16.09061612,-2.764405536,0.465922043,-5.474992427,4.38E-08,1.04E-06
Snhg11,31.92744924,-2.764182021,0.435433262,-6.204462531,5.49E-10,2.10E-08
Asb15,15.77244293,-2.761877369,0.479920567,-5.15901878,2.48E-07,4.91E-06
LOC108352323,91.21531872,-2.761642052,0.341831343,-8.016061775,1.09E-15,1.15E-13
LOC120097384,25.35778956,-2.760302522,0.428417438,-6.207836327,5.37E-10,2.07E-08
Rasgrf2,18.06609633,-2.752410988,0.475321053,-5.407665241,6.39E-08,1.46E-06
Trnas-aga_3,23.48259035,-2.751430991,0.427957724,-6.170084295,6.83E-10,2.56E-08
Dnah8,34.10421669,-2.750001089,0.414178187,-6.47250198,9.64E-11,4.40E-09
LOC684709,16.02034359,-2.748185411,0.487821007,-5.59739028,2.18E-08,5.66E-07
LOC120095329,21.36268574,-2.745126432,0.487551396,-5.186748117,2.14E-07,4.30E-06
Tmigd1,12.17038587,-2.739051261,0.48577173,-4.821742955,1.42E-06,2.26E-05
Gprin3,36.38150205,-2.737707098,0.40352031,-6.640371134,3.13E-11,1.58E-09
LOC120098783,23.25914516,-2.737236325,0.454822967,-5.79899534,6.67E-09,1.97E-07
LOC120102105,11.4624177,-2.733653143,0.487482081,-5.382713896,7.34E-08,1.66E-06
LOC102553022,12.15459905,-2.729796463,0.485203168,-4.836444239,1.32E-06,2.13E-05
LOC120103044,18.54154518,-2.725917364,0.484405529,-5.154169774,2.55E-07,5.01E-06
H1f4,29.25903981,-2.725352058,0.44698885,-5.94721888,2.73E-09,8.86E-08
LOC120094658,34.32156697,-2.718891876,0.40814793,-6.516933846,7.18E-11,3.38E-09
Cdh9,20.22639619,-2.711046625,0.487380713,-5.14662101,2.65E-07,5.19E-06
Nf2,3083.816007,-2.710574304,0.293248634,-9.245060595,2.35E-20,3.69E-18
LOC102556466,12.60977863,-2.705207409,0.486306158,-4.826213859,1.39E-06,2.22E-05
Cycs,111.5445366,-2.70239584,0.365213606,-7.365486145,1.77E-13,1.28E-11
Pgpep1l,28.14678495,-2.699722419,0.450859557,-5.862445231,4.56E-09,1.39E-07
Hoxc6,17.7423463,-2.694218019,0.480335432,-5.245772343,1.56E-07,3.27E-06
LOC102553035,14.06198844,-2.687683539,0.480280742,-5.015456619,5.29E-07,9.52E-06
LOC120098583,19.19899692,-2.682480924,0.472257751,-5.409495656,6.32E-08,1.45E-06
Bmt2,23.00977936,-2.682403922,0.461189707,-5.620711559,1.90E-08,5.04E-07
LOC120097593,23.28194899,-2.681513813,0.448470516,-5.777140727,7.60E-09,2.22E-07
LOC120095859,13.27874398,-2.680343242,0.481443204,-4.916396397,8.82E-07,1.48E-05
RGD1305298,18.12889952,-2.675164631,0.472572096,-5.376751167,7.58E-08,1.71E-06
LOC120099916,136.9638242,-2.673835717,0.329487215,-8.088389127,6.05E-16,6.52E-14
LOC103693719,17.66463314,-2.664944275,0.46721448,-5.412569572,6.21E-08,1.43E-06
LOC120099073,23.80237976,-2.662372605,0.454552328,-5.671359297,1.42E-08,3.87E-07
LOC120094336,14.70531757,-2.657605884,0.481520066,-5.011330623,5.41E-07,9.69E-06
LOC108351606,42.94679896,-2.657473922,0.379281338,-6.890301906,5.57E-12,3.24E-10
LOC120096641,23.38029161,-2.656635043,0.467560433,-5.521559197,3.36E-08,8.21E-07
LOC102553444,13.85505063,-2.654892282,0.488035813,-5.437888307,5.39E-08,1.26E-06
LOC103691423,18.18846112,-2.654858993,0.48075363,-5.215804237,1.83E-07,3.76E-06
Acp4,17.58903122,-2.654403823,0.486666096,-4.87562644,1.08E-06,1.78E-05
LOC120096700,18.56731893,-2.654351884,0.472080979,-5.359765894,8.33E-08,1.85E-06
Zrsr2,1500.113662,-2.650279816,0.230096908,-11.51523019,1.11E-30,5.26E-28
LOC120099710,20.3047352,-2.650101178,0.486978448,-5.000079206,5.73E-07,1.02E-05
LOC102548225,26.93569146,-2.645431782,0.414019709,-6.219487846,4.99E-10,1.95E-08
LOC108348790,12.2096258,-2.645292119,0.486458363,-4.780895892,1.75E-06,2.72E-05
Plekhh1,5353.972116,-2.638223534,0.340077005,-7.765554746,8.13E-15,7.25E-13
LOC102548637,10.63676534,-2.637972184,0.48791181,-5.264554951,1.41E-07,2.98E-06
E2f5,45.16795777,-2.637577645,0.446336738,-5.887046095,3.93E-09,1.22E-07
H1f5,21.09428556,-2.633831357,0.448510405,-5.665733116,1.46E-08,3.97E-07
LOC120098363,11.47441111,-2.633551002,0.486872134,-4.71291056,2.44E-06,3.62E-05
Hoxa13,12.80959082,-2.632571174,0.488050215,-5.372443476,7.77E-08,1.75E-06
LOC120095211,23.24073337,-2.630980386,0.473859717,-5.411469572,6.25E-08,1.43E-06
Trnn,1346.84733,-2.629854835,0.362502085,-7.265597024,3.71E-13,2.62E-11
Pipox,31.67046888,-2.627974024,0.434926512,-5.93314343,2.97E-09,9.57E-08
LOC102552722,22.17510612,-2.623212106,0.448353781,-5.643954175,1.66E-08,4.47E-07
LOC108351929,24.32015996,-2.619939781,0.463799618,-5.530989718,3.18E-08,7.82E-07
Tex15,17.87275166,-2.619898543,0.460542408,-5.424782486,5.80E-08,1.34E-06
Ankh,46.07173215,-2.616142067,0.419603972,-6.18251717,6.31E-10,2.40E-08
Ddx6,659.258514,-2.606942689,0.260194437,-10.01377564,1.33E-23,3.19E-21
LOC103694726,15.83807174,-2.60453994,0.479494962,-5.088882761,3.60E-07,6.82E-06
Adamts12,37.87718085,-2.601965141,0.404229525,-6.345977135,2.21E-10,9.34E-09
LOC120093602,11.35697295,-2.59653903,0.487087953,-4.685110332,2.80E-06,4.07E-05
LOC102551354,42.9516051,-2.596031923,0.381373315,-6.707878256,1.97E-11,1.04E-09
Cbx3,2429.946781,-2.59406361,0.27027956,-9.597763927,8.17E-22,1.56E-19
LOC108350353,23.54054262,-2.593988918,0.483616315,-5.283838456,1.27E-07,2.72E-06
Dync2i1,322.4811259,-2.593907061,0.23540296,-11.00231713,3.72E-28,1.53E-25
Smarcc2,1896.534266,-2.593321533,0.17246637,-15.03300669,4.46E-51,1.66E-47
LOC102546371,35.84678417,-2.592802499,0.433084946,-5.907371681,3.48E-09,1.10E-07
Trnq,366.6137855,-2.584861074,0.301493434,-8.565952972,1.07E-17,1.38E-15
Cadm4,32.40061022,-2.581547142,0.433155557,-5.874558378,4.24E-09,1.30E-07
LOC120100710,13.20988825,-2.580465713,0.48763788,-4.76655448,1.87E-06,2.89E-05
LOC108352453,51.56513811,-2.580203463,0.42440632,-6.053942878,1.41E-09,4.92E-08
LOC120095946,11.24109051,-2.579104206,0.488088845,-5.249243886,1.53E-07,3.22E-06
C5ar1,17.50723103,-2.574196853,0.484119131,-5.051539414,4.38E-07,8.07E-06
LOC108350241,13.93625442,-2.572388839,0.480282672,-4.958111655,7.12E-07,1.24E-05
LOC120101725,22.50812392,-2.571752112,0.455597473,-5.512040157,3.55E-08,8.64E-07
Abca14,12.29350575,-2.571351748,0.488105331,-5.297059173,1.18E-07,2.54E-06
Acin1,1142.560426,-2.571212373,0.316623941,-8.122871585,4.55E-16,5.00E-14
Palld,325.4553159,-2.564793588,0.24320452,-10.531674,6.17E-26,1.97E-23
LOC120094379,25.58027778,-2.559164772,0.460953713,-5.469054579,4.52E-08,1.07E-06
Kif1c,13970.43037,-2.556311995,0.191328531,-13.36062291,1.03E-40,1.59E-37
Grin2b,41.29831806,-2.554591016,0.409559372,-6.173029249,6.70E-10,2.53E-08
LOC120095071,11.87708854,-2.551603388,0.487613859,-4.681856743,2.84E-06,4.12E-05
Top2b,262.6833456,-2.542564421,0.358658901,-7.089608075,1.34E-12,8.72E-11
mt-Rnr2,99660.00726,-2.540065809,0.264448247,-9.606608751,7.50E-22,1.45E-19
LOC120100196,15.46924793,-2.538607803,0.488020944,-5.42039355,5.95E-08,1.37E-06
LOC108348923,11.4579951,-2.53852634,0.488101625,-5.228389995,1.71E-07,3.55E-06
Nes,924.8026493,-2.534726314,0.234586449,-10.80065976,3.42E-27,1.29E-24
LOC120100417,11.72006815,-2.529091654,0.48809007,-5.234984745,1.65E-07,3.44E-06
LOC103694782,15.29231436,-2.525423322,0.487104688,-4.707913288,2.50E-06,3.70E-05
LOC102556609,14.26132161,-2.517584693,0.485066587,-4.809311686,1.51E-06,2.39E-05
LOC120103562,16.13000067,-2.513654171,0.471764616,-5.109500086,3.23E-07,6.20E-06
LOC103692198,10.93817908,-2.513381152,0.488086189,-5.181431946,2.20E-07,4.42E-06
Gad2,33.72960527,-2.512595365,0.431738026,-5.741199897,9.40E-09,2.69E-07
Eif3a,16419.71959,-2.511666448,0.183881866,-13.65899052,1.78E-42,3.31E-39
LOC102549886,22.58721667,-2.511604336,0.482367984,-5.201325876,1.98E-07,4.02E-06
Hmgn5,108.2803391,-2.51025783,0.310253249,-8.056260778,7.87E-16,8.38E-14
Cul4a,46.87556746,-2.507527778,0.385023074,-6.442934308,1.17E-10,5.26E-09
LOC102556502,10.35851599,-2.505335665,0.487691935,-4.560415461,5.11E-06,6.87E-05
Fnbp1,30.29101037,-2.503407714,0.427456605,-5.771466276,7.86E-09,2.28E-07
LOC108352144,14.32935749,-2.502234604,0.481032751,-4.891231323,1.00E-06,1.66E-05
LOC120095426,22.2658686,-2.50159814,0.482633806,-5.136856576,2.79E-07,5.41E-06
LOC120098829,20.71580161,-2.496887186,0.472105472,-5.194399915,2.05E-07,4.15E-06
LOC108348758,10.36507111,-2.494729845,0.48739954,-4.574447279,4.77E-06,6.48E-05
LOC102546375,10.50388082,-2.49365837,0.486123538,-4.425237812,9.63E-06,0.000120375
Prox1,26.10435812,-2.492171136,0.44757044,-5.482968331,4.18E-08,1.01E-06
Lbh,1175.745153,-2.489755405,0.347443677,-7.172239897,7.38E-13,5.03E-11
Sdr9c7,36.87757356,-2.489400086,0.462226096,-5.409234787,6.33E-08,1.45E-06
Mcpt1l3,12.16251548,-2.488028496,0.487993468,-5.226408296,1.73E-07,3.58E-06
LOC102550858,52.7364829,-2.481212298,0.378075736,-6.507495304,7.64E-11,3.55E-09
