Gene,baseMean,log2FC,lfcSE,stat,pvalue,padj
Rerg,9.916072195,-0.598761113,0.486896981,-1.242345877,0.214108975,0.367341111
Dcps,1947.715643,-0.598704166,0.197160138,-3.036658514,0.002392163,0.012229908
Hmg20b,969.8986727,-0.598668617,0.279508624,-2.142009892,0.032192686,0.095420233
rnf141,45.3884696,-0.598544164,0.343691729,-1.742322842,0.081451969,0.187902943
Tob2,2350.524193,-0.598512551,0.23618466,-2.5341503,0.011272037,0.042526427
LOC108352947,4.10998084,-0.598493555,0.424167819,-1.511919296,0.130554395,0.261781742
Rnpepl1,933.8101251,-0.598480614,0.266127341,-2.24899282,0.024512953,0.077355971
Mprip,1116.924789,-0.598425135,0.214097636,-2.795189847,0.005186925,0.022900272
Hhla1,3.486902387,-0.598011631,0.446085606,-1.391235655,0.164153979,0.306552214
LOC102548223,2.483449002,-0.597927896,0.454948054,-1.331048606,0.183173018,0.3305028
LOC120093056,13746.95461,-0.597923627,0.258238357,-2.315416892,0.020590128,0.067863978
Zranb3,146.6145566,-0.597841234,0.339743239,-1.760221496,0.078370259,0.182729617
Eef1aknmt,62.3034933,-0.597745809,0.375068326,-1.594891311,0.110736543,0.234030968
Dock5,83.90177787,-0.597713142,0.271021699,-2.205973383,0.027385863,0.083992072
Olr1596,3.001288187,-0.59766462,0.365031428,-2.378553395,0.01738072,0.059507142
LOC102554611,3.326003838,-0.597567362,0.411085676,-1.625090492,0.104143278,0.224445469
Mrpl16,571.7603429,-0.59752476,0.262057169,-2.280324913,0.022588425,0.072794086
Plekhb1,356.5248775,-0.597430674,0.22721517,-2.629570425,0.008549282,0.034232941
Ints1,529.6881297,-0.597393764,0.273449475,-2.18495101,0.028892439,0.08758419
Fkbp8,973.17545,-0.597080535,0.168787612,-3.537601454,0.000403779,0.002857738
LOC120093104,8.071952618,-0.596973437,0.449087134,-1.400614278,0.161329449,0.302633482
LOC120100921,1.659850334,-0.596804397,0.362337157,-2.065514655,0.03887433,0.10941814
LOC102547959,1.659850334,-0.596804397,0.362337157,-2.065514655,0.03887433,0.10941814
LOC120096729,1.659850334,-0.596804397,0.362337157,-2.065514655,0.03887433,0.10941814
Gata6,1.659850334,-0.596804397,0.362337157,-2.065514655,0.03887433,0.10941814
LOC108349081,1.659850334,-0.596804397,0.362337157,-2.065514655,0.03887433,0.10941814
Setd3,2258.601302,-0.596270907,0.242375752,-2.460124682,0.013888876,0.049959538
Nrgn,31.53567404,-0.596114749,0.373258727,-1.599138468,0.109789839,0.232613458
Sec1,5.892135361,-0.596079466,0.484113758,-1.240804523,0.21467797,0.368049081
Eef1d,4420.17139,-0.59605593,0.252144755,-2.3639817,0.018079706,0.061345285
Rcan2,1532.210955,-0.596020948,0.246442061,-2.418583873,0.015581053,0.05457489
Trnar-ucu_1,1.771453639,-0.595945258,0.391569155,-1.807607294,0.070667642,0.169783634
LOC120100825,2.560483161,-0.595513164,0.384298166,-1.977807995,0.047950371,0.127677159
Trnat-agu_8,3.574702056,-0.595464799,0.447157049,-1.386965394,0.165452316,0.307484912
LOC102553760,85.01396472,-0.595336069,0.301889352,-1.972801782,0.04851815,0.128726865
LOC120094727,3.705208832,-0.595148762,0.47408403,-1.261972202,0.206958789,0.359564961
Gtf2f1,641.5595134,-0.595046384,0.246674176,-2.412439,0.015846189,0.05537804
Ttll12,1326.521087,-0.595006919,0.199028678,-2.989617077,0.002793274,0.013856521
LOC102549281,25.96829121,-0.594990092,0.459917056,-1.295411181,0.195178423,0.345488123
Fam47e,2.560243866,-0.594933148,0.427913132,-1.443037437,0.149009925,0.287343079
LOC120098209,2.756121369,-0.594823799,0.364191709,-2.328547379,0.019883057,0.066121147
Gnat2,2.482878501,-0.594788739,0.379326847,-1.934495957,0.053052179,0.13795352
LOC102556014,2.784291083,-0.594729796,0.364201399,-2.333490663,0.019622408,0.065453914
Sall2,481.8724065,-0.594370565,0.213035852,-2.790241823,0.005266869,0.023153994
Myo9a,364.0732768,-0.594337532,0.21725809,-2.736009705,0.006218919,0.026429614
Pnma8c,121.5788377,-0.594225049,0.291978673,-2.036091267,0.041741191,0.115128204
LOC120102909,17.14132449,-0.593772512,0.476277576,-1.25160272,0.210714663,0.364061856
LOC690718,3.06353798,-0.593698125,0.464235382,-1.287603622,0.197883978,0.349230285
Ttc28,146.4096347,-0.593547999,0.329571061,-1.801445016,0.071632766,0.171613228
Misp,2.789723456,-0.593404198,0.405281369,-1.600250216,0.109543086,0.232223328
Tsr1,1759.221782,-0.593160774,0.193211731,-3.070063337,0.002140134,0.011183538
Phlda3,839.4875442,-0.592684226,0.227533289,-2.604969667,0.009188239,0.036289142
LOC120097733,7.172379793,-0.592677395,0.486231086,-1.230097063,0.21866076,0.372907796
Azin2,12.45627611,-0.592652683,0.488105502,-1.222822476,0.221396754,0.376474505
St13,1439.364524,-0.592210745,0.20882216,-2.836013284,0.004568055,0.020720508
