GENE,SNP,baseMean,EFFECTSIZE,lfcSE,stat,pvalue,P
Utp3,Utp3,1389.72476,-1.534422156,0.268282841,-5.719590749,1.07E-08,3.00E-07
Oprm1,Oprm1,4.96075052,-1.533854215,0.479963265,-3.116887174,0.001827715,0.009795179
LOC102548918,LOC102548918,13.05153375,-1.533633166,0.464613941,-3.287306828,0.001011506,0.006052387
LOC120097383,LOC120097383,57.14865883,-1.530365753,0.335860306,-4.553469914,5.28E-06,7.09E-05
Pak2,Pak2,189.8718138,-1.52844619,0.351550895,-4.34967171,1.36E-05,0.000162358
Znhit6,Znhit6,894.6005376,-1.52832193,0.187487519,-8.151235612,3.60E-16,4.02E-14
LOC120094861,LOC120094861,21.2256309,-1.52607412,0.457988487,-3.344314156,0.000824863,0.005122381
Armcx3,Armcx3,1287.750992,-1.525651385,0.230500957,-6.618775404,3.62E-11,1.82E-09
LOC108350022,LOC108350022,30.82718473,-1.525029253,0.448127366,-3.405428779,0.000660602,0.004259232
Marf1,Marf1,188.698307,-1.524317302,0.297329304,-5.126545048,2.95E-07,5.68E-06
Cgnl1,Cgnl1,10.79821364,-1.524153742,0.483078489,-3.161831433,0.001567803,0.008655115
LOC102547286,LOC102547286,42.21645553,-1.523748163,0.368797502,-4.128501893,3.65E-05,0.000377407
LOC120097519,LOC120097519,8.101507015,-1.521382532,0.487812225,-3.142190107,0.001676891,0.009148159
LOC103691380,LOC103691380,9.04140799,-1.520834601,0.465268372,-4.20977515,2.56E-05,0.00027998
LOC108348574,LOC108348574,7.068195942,-1.519875084,0.48796104,-3.118167125,0.001819796,0.009762744
Pcdhga12,Pcdhga12,18.12178409,-1.518692664,0.461419614,-3.289685287,0.001002995,0.006013106
Tsbp1,Tsbp1,24.37664225,-1.518401687,0.466550768,-3.276390362,0.001051431,0.006240938
Tchp,Tchp,370.8391066,-1.518089011,0.266481016,-5.69644032,1.22E-08,3.39E-07
Fam221b,Fam221b,45.55106738,-1.517371401,0.41984693,-3.618720785,0.000296063,0.002203007
Mc2r,Mc2r,19.02470449,-1.51671286,0.481367105,-3.181426736,0.001465516,0.008202554
